Log start : Thu Sep 19 16:03:18 2019

Current Directory : C:\Users\Allan\Documents\Projetos\GunzPro\gunz\ZLauncher_2nd\CNewApp
16:03:21:837   [ZUpdatePatchNode] Needs to update : ./CUSTOM/CROSSHAIR/crosshair_pick.png (not exist)
16:03:21:849   [ZUpdatePatchNode] Needs to update : ./CUSTOM/CROSSHAIR/Thumbs.db (not exist)
16:03:21:858   [ZUpdate] Check valid from patch list successfully complete.
16:03:21:870   [ZUpdate] + Total patch file count : 116
16:03:21:880   [ZUpdate] + Total patch file size : 342792239 bytes
16:03:21:888   [APP] Exist patch file(s)
16:03:21:919   [APP] Start file updating...
16:03:21:929   [ZUpdate] Patch files.
16:03:21:936   [ZFileTransfer] Download file : ./bdcap32.dll  to  C:\Users\Allan\Documents\Projetos\GunzPro\gunz\ZLauncher_2nd\CNewApp\PATCH\bdcap32.dll_
16:03:22:129   [ZFileTransfer] Download successfully complete.
16:03:22:309   [ZUpdate] Successfully download '.\PATCH\bdcap32.dll_'
16:03:22:317   [ZFileTransfer] Download file : ./bdcore32.dll  to  C:\Users\Allan\Documents\Projetos\GunzPro\gunz\ZLauncher_2nd\CNewApp\PATCH\bdcore32.dll_
16:03:23:306   [ZFileTransfer] Download successfully complete.
16:03:23:345   [ZUpdate] Successfully download '.\PATCH\bdcore32.dll_'
16:03:23:350   [ZFileTransfer] Download file : ./dbghelp.dll  to  C:\Users\Allan\Documents\Projetos\GunzPro\gunz\ZLauncher_2nd\CNewApp\PATCH\dbghelp.dll_
16:03:23:560   [ZFileTransfer] Download successfully complete.
16:03:23:607   [ZUpdate] Successfully download '.\PATCH\dbghelp.dll_'
16:03:23:615   [ZFileTransfer] Download file : ./fmod.dll  to  C:\Users\Allan\Documents\Projetos\GunzPro\gunz\ZLauncher_2nd\CNewApp\PATCH\fmod.dll_
16:03:23:719   [ZFileTransfer] Download successfully complete.
16:03:23:780   [ZUpdate] Successfully download '.\PATCH\fmod.dll_'
16:03:23:785   [ZFileTransfer] Download file : ./gdiplus.dll  to  C:\Users\Allan\Documents\Projetos\GunzPro\gunz\ZLauncher_2nd\CNewApp\PATCH\gdiplus.dll_
16:03:24:175   [ZFileTransfer] Download successfully complete.
16:03:24:208   [ZUpdate] Successfully download '.\PATCH\gdiplus.dll_'
16:03:24:222   [ZFileTransfer] Download file : ./HanAuthForClient.dll  to  C:\Users\Allan\Documents\Projetos\GunzPro\gunz\ZLauncher_2nd\CNewApp\PATCH\HanAuthForClient.dll_
16:03:24:363   [ZFileTransfer] Download successfully complete.
16:03:24:506   [ZUpdate] Successfully download '.\PATCH\HanAuthForClient.dll_'
16:03:24:551   [ZFileTransfer] Download file : ./HanPollForClient.dll  to  C:\Users\Allan\Documents\Projetos\GunzPro\gunz\ZLauncher_2nd\CNewApp\PATCH\HanPollForClient.dll_
16:03:24:690   [ZFileTransfer] Download successfully complete.
16:03:24:776   [ZUpdate] Successfully download '.\PATCH\HanPollForClient.dll_'
16:03:24:798   [ZFileTransfer] Download file : ./HanReportForClient.dll  to  C:\Users\Allan\Documents\Projetos\GunzPro\gunz\ZLauncher_2nd\CNewApp\PATCH\HanReportForClient.dll_
16:03:24:948   [ZFileTransfer] Download successfully complete.
16:03:25:006   [ZUpdate] Successfully download '.\PATCH\HanReportForClient.dll_'
16:03:25:012   [ZFileTransfer] Download file : ./model.mrs  to  C:\Users\Allan\Documents\Projetos\GunzPro\gunz\ZLauncher_2nd\CNewApp\PATCH\model.mrs_
16:03:26:422   [ZFileTransfer] Download successfully complete.
16:03:26:452   [ZUpdate] Successfully download '.\PATCH\model.mrs_'
16:03:26:457   [ZFileTransfer] Download file : ./msvcp71.dll  to  C:\Users\Allan\Documents\Projetos\GunzPro\gunz\ZLauncher_2nd\CNewApp\PATCH\msvcp71.dll_
16:03:26:584   [ZFileTransfer] Download successfully complete.
16:03:26:609   [ZUpdate] Successfully download '.\PATCH\msvcp71.dll_'
16:03:26:615   [ZFileTransfer] Download file : ./msvcr71.dll  to  C:\Users\Allan\Documents\Projetos\GunzPro\gunz\ZLauncher_2nd\CNewApp\PATCH\msvcr71.dll_
16:03:26:722   [ZFileTransfer] Download successfully complete.
16:03:26:745   [ZUpdate] Successfully download '.\PATCH\msvcr71.dll_'
16:03:26:749   [ZFileTransfer] Download file : ./README.md  to  C:\Users\Allan\Documents\Projetos\GunzPro\gunz\ZLauncher_2nd\CNewApp\PATCH\README.md_
16:03:26:774   [ZFileTransfer] ERROR : File not found.
16:03:26:779   [ZFileTransfer] ERROR : Failed download : ./README.md
16:03:26:784   [ZUpdate] WARNNING : Retry patch file : .\PATCH\README.md_ , 1 retry
16:03:26:793   [ZFileTransfer] Download file : ./README.md  to  C:\Users\Allan\Documents\Projetos\GunzPro\gunz\ZLauncher_2nd\CNewApp\PATCH\README.md_
16:03:26:879   [ZFileTransfer] ERROR : File not found.
16:03:26:886   [ZFileTransfer] ERROR : Failed download : ./README.md
16:03:26:893   [ZUpdate] ERROR : Fail to download file '.\PATCH\README.md_'
16:03:26:901   [ZFileTransfer] Download file : ./sfx.mrs  to  C:\Users\Allan\Documents\Projetos\GunzPro\gunz\ZLauncher_2nd\CNewApp\PATCH\sfx.mrs_
16:03:27:850   [ZFileTransfer] Download successfully complete.
16:03:27:860   [ZUpdate] Successfully download '.\PATCH\sfx.mrs_'
16:03:27:867   [ZFileTransfer] Download file : ./system.mrs  to  C:\Users\Allan\Documents\Projetos\GunzPro\gunz\ZLauncher_2nd\CNewApp\PATCH\system.mrs_
16:03:27:957   [ZFileTransfer] Download successfully complete.
16:03:27:973   [ZUpdate] Successfully download '.\PATCH\system.mrs_'
16:03:27:979   [ZFileTransfer] Download file : ./theduel.exe  to  C:\Users\Allan\Documents\Projetos\GunzPro\gunz\ZLauncher_2nd\CNewApp\PATCH\theduel.exe_
16:03:28:185   [APP] Update canceled...
16:03:28:190   [ZUpdate] Stop update.
16:03:28:200   [ZUpdate] Stop update successfully complete.
16:03:28:203   [ZFileTransfer] Stop download.
16:03:28:280   [ZUpdate] WARNNING : Retry patch file : .\PATCH\theduel.exe_ , 1 retry
16:03:28:287   [ZUpdate] Patch files STOP!!!
16:03:28:293   [ZUpdate] ERROR : Start update FAILED!!!
16:03:28:297   [APP] ERROR - Update fail
16:03:28:345   [ZUpdate] Destroy.
16:03:28:354   [ZFileTransfer] Destroy.
16:03:28:360   [ZFileTransfer] Close connection.
16:03:28:367   [ZFileTransfer] Close connection successfully complete.
16:03:28:373   [ZFileTransfer] Destroy successfly complete.
16:03:28:379   [ZUpdate] Destroy successfully complete.
